time	V(vin)	V(vout)
3.469662975117894e-003	1.893263e-003	1.450041e-002
3.475068946100036e-003	1.559224e-003	1.116107e-002
3.480474917082179e-003	1.223656e-003	7.806202e-003
3.485880888064322e-003	8.865593e-004	4.435802e-003
3.491286859046465e-003	5.479342e-004	1.049872e-003
3.496692830028608e-003	2.077807e-004	-2.351590e-003
3.504365821100036e-003	-2.770520e-004	-7.198880e-003
3.512038812171465e-003	-7.584675e-004	-1.201205e-002
3.519711803242893e-003	-1.236466e-003	-1.679110e-002
3.527384794314321e-003	-1.711047e-003	-2.153603e-002
3.535057785385749e-003	-2.182211e-003	-2.624685e-002
3.542730776457178e-003	-2.649958e-003	-3.092354e-002
3.550403767528606e-003	-3.114288e-003	-3.556611e-002
3.562959571100035e-003	-3.863860e-003	-4.306078e-002
3.575515374671463e-003	-4.578913e-003	-5.021043e-002
3.588071178242891e-003	-5.259446e-003	-5.701505e-002
3.600626981814320e-003	-5.905459e-003	-6.347465e-002
3.613182785385748e-003	-6.516953e-003	-6.958922e-002
3.625738588957176e-003	-7.093927e-003	-7.535877e-002
3.638294392528605e-003	-7.636381e-003	-8.078330e-002
3.652942830028604e-003	-8.197464e-003	-8.639436e-002
3.667591267528604e-003	-8.689155e-003	-9.131174e-002
3.682239705028604e-003	-9.107291e-003	-9.549379e-002
3.692005330028603e-003	-9.343409e-003	-9.785558e-002
3.701770955028603e-003	-9.544360e-003	-9.986581e-002
3.711536580028603e-003	-9.709390e-003	-1.015169e-001
3.721302205028603e-003	-9.837875e-003	-1.028026e-001
3.731067830028603e-003	-9.929333e-003	-1.037182e-001
3.740833455028602e-003	-9.983419e-003	-1.042602e-001
3.750599080028602e-003	-9.999929e-003	-1.044264e-001
3.760364705028602e-003	-9.978802e-003	-1.042164e-001
3.770130330028602e-003	-9.920117e-003	-1.036309e-001
3.779895955028602e-003	-9.824095e-003	-1.026721e-001
3.789661580028601e-003	-9.691098e-003	-1.013435e-001
3.799427205028601e-003	-9.521625e-003	-9.965032e-002
3.809192830028601e-003	-9.316315e-003	-9.759879e-002
3.818958455028601e-003	-9.075941e-003	-9.519667e-002
3.833606892528600e-003	-8.651647e-003	-9.095625e-002
3.848255330028600e-003	-8.154116e-003	-8.598351e-002
3.862903767528600e-003	-7.587559e-003	-8.032058e-002
3.877552205028599e-003	-6.956772e-003	-7.401538e-002
3.889410463957171e-003	-6.393920e-003	-6.838905e-002
3.901268722885742e-003	-5.804211e-003	-6.249411e-002
3.913126981814313e-003	-5.187644e-003	-5.633056e-002
3.924985240742884e-003	-4.544219e-003	-4.989840e-002
3.936843499671455e-003	-3.873938e-003	-4.319763e-002
3.948701758600026e-003	-3.176799e-003	-3.622825e-002
3.960560017528598e-003	-2.452802e-003	-2.899026e-002
3.966837919314312e-003	-2.067071e-003	-2.513395e-002
3.973115821100026e-003	-1.679638e-003	-2.126060e-002
3.979393722885740e-003	-1.290505e-003	-1.737021e-002
3.985671624671454e-003	-8.996702e-004	-1.346279e-002
3.991949526457169e-003	-5.071345e-004	-9.538327e-003
3.998227428242882e-003	-1.128976e-004	-5.596828e-003
4.004505330028597e-003	2.830404e-004	-1.638291e-003
4.015569740238252e-003	9.767159e-004	5.299285e-003
4.023068345148966e-003	1.446885e-003	9.999111e-003
4.030566950059680e-003	1.911306e-003	1.464172e-002
4.038065554970395e-003	2.369978e-003	1.922713e-002
4.045564159881108e-003	2.822902e-003	2.375532e-002
4.053062764791822e-003	3.270078e-003	2.822630e-002
4.060561369702537e-003	3.711506e-003	3.264007e-002
4.068059974613251e-003	4.147185e-003	3.699662e-002
